"BirdID","GroupSize.all","GroupSize.old"
5613,4,3
5607,3,2
5313,5,4
5521,5,4
5498,3,3
5605,3,2
5604,5,3
5511,4,2
5606,4,3
5530,3,3
5683,3,3
5642,4,3
5510,4,3
5516,3,3
5462,3,3
5542,5,4
5541,5,4
5514,5,4
5513,5,4
5337,6,4
5527,6,4
5518,5,5
5539,4,3
5520,5,3
5533,4,3
5621,3,2
5523,4,4
5522,4,4
5612,3,2
5537,6,6
5575,7,6
5608,3,2
5586,5,3
5582,5,3
5562,8,7
5626,4,3
5326,5,4
5749,3,2
5847,6,4
5639,4,3
5648,5,4
5588,4,4
5828,3,2
5638,4,3
5682,4,3
5776,3,2
5625,4,4
5561,6,4
5597,4,3
5590,8,6
5585,4,2
5653,5,4
5624,4,3
5634,5,5
5826,3,2
5765,4,2
5678,5,5
5534,5,4
5339,5,4
5529,6,6
5643,5,5
5686,5,5
5773,3,3
5595,4,3
5785,3,2
5787,5,4
5842,3,5
5838,3,2
5852,3,2
5902,4,2
6014,3,3
5850,6,5
5784,4,3
6013,3,3
5652,4,4
5641,7,6
5777,7,6
5778,7,6
5903,6,4
5775,6,4
5782,4,3
5827,9,8
5835,3,3
5831,7,5
5771,6,5
5832,4,4
5844,4,4
6017,6,3
5636,3,3
5123,4,4
5849,4,4
5848,4,3
5830,4,3
5766,5,5
5768,4,4
5824,4,3
5618,3,3
6030,3,3
5821,7,7
6031,7,7
5822,4,4
5851,3,3
5650,4,4
5825,6,6
5834,6,6
5829,4,4
5833,4,4
5780,4,4
5839,4,4
5772,4,4
5905,3,3
5770,7,6
6029,3,3
5769,4,4
5901,7,7
1660,4,4
6015,3,3
5820,4,4
5750,6,6
5173,4,4
6048,4,4
6062,3,3
6028,4,4
5906,3,3
6024,5,5
6181,4,3
6034,3,3
6020,5,5
6018,4,4
5855,5,4
6010,4,4
6021,6,4
6023,4,4
5846,3,3
6009,5,4
5853,5,4
5841,5,4
6037,5,4
5596,4,4
5908,4,3
5843,5,3
6067,3,3
6065,3,2
6033,3,3
6196,3,3
6180,5,4
6050,5,4
6011,8,6
6312,4,3
5536,6,3
6160,4,3
6153,4,4
6016,6,3
5748,4,3
6047,4,4
6026,4,4
6141,4,3
6158,5,5
6219,4,4
6140,5,4
6273,5,4
6142,6,6
6185,4,3
6565,6,5
6566,5,5
6199,6,5
6170,6,5
5517,4,4
6205,5,4
6209,5,5
6149,5,5
6230,3,3
6268,4,4
6150,5,5
6272,5,5
5909,5,5
6147,5,5
6267,5,5
6155,5,5
6045,5,5
6213,9,8
6239,3,3
6240,7,6
6166,3,3
6221,4,4
6138,6,6
6175,4,4
6012,7,6
6169,5,5
6549,6,5
6552,5,4
6660,4,3
6309,6,6
6556,4,3
6384,4,4
6573,6,5
6279,4,3
6186,3,3
6560,4,4
6382,4,3
6385,3,3
6261,7,6
6546,3,2
6564,3,3
6554,3,2
6690,4,4
6378,5,4
6563,4,4
6557,3,3
6374,5,4
6568,6,4
6313,3,4
5600,3,3
6645,6,5
6673,4,3
5543,5,4
6697,7,6
6693,4,3
6857,3,3
6764,5,5
6571,6,4
6900,4,4
6836,4,3
6780,5,5
7094,3,3
7080,3,2
7074,3,2
6865,7,5
7097,6,4
6877,5,3
7079,3,2
7077,4,3
6831,5,4
7086,6,5
6926,8,7
7084,9,9
7096,7,6
6777,7,5
6863,5,5
7132,NA,NA
7131,4,3
6859,4,4
7071,4,4
6884,8,7
7133,4,3
7091,5,5
6886,5,5
6910,4,4
7116,8,8
6909,3,3
7144,4,4
1494,7,2
1801,3,3
1750,3,3
3453,3,2
2966,6,4
2991,4,4
3089,3,2
1826,4,3
2986,3,3
3694,3,3
1869,5,5
3608,6,5
3497,6,5
3462,4,4
3456,5,4
3643,4,3
3094,5,4
3087,4,3
3518,6,5
3490,6,5
3567,5,5
2990,6,5
3595,6,4
1722,4,3
1669,4,4
1605,4,3
1729,3,2
1821,3,2
1763,3,2
1607,5,5
1707,4,4
1678,4,3
2978,3,2
5009,5,3
3519,3,3
3085,6,4
4860,5,4
4803,6,5
3486,4,4
3606,5,5
4885,4,4
3594,6,6
2968,9,5
3699,9,5
4964,3,2
4896,3,3
1877,6,5
5000,4,3
4939,7,5
4965,4,3
4999,4,2
4892,6,5
4954,4,4
4957,6,6
5163,4,4
4941,6,5
4961,4,3
4933,7,6
4861,3,3
5267,3,3
4947,5,5
5197,4,3
1824,5,5
4904,9,7
5072,7,6
5285,4,3
4887,5,5
5217,5,5
4890,6,6
5290,3,2
5262,3,2
1819,5,3
5275,5,3
5319,5,2
5323,7,3
5291,5,5
5333,4,3
5525,3,2
5237,5,4
5508,5,4
5519,3,2
5321,5,4
5235,6,5
5334,6,5
5559,6,5
5338,3,3
5450,3,3
5549,5,4
5573,3,3
5456,3,3
5538,3,2
5283,4,4
5497,5,5
